project_name,author,github_url,github_stars,github_forks,tashan_score,practicality_score,sustainability_score,popularity_score,tools_available_tashan,lobehub_url,lobehub_description,lobehub_rating,tools_available,project_type,deployment_methods,api_requirements,use_cases,hidden_gem_score,recommendation_type
Netlify MCP Server,netlify,https://github.com/netlify/netlify-mcp,11,5,78.34,87.5,72,57.18,6,https://lobehub.com/mcp/netlify-netlify-mcp,Netlify MCP Server 使 AI 代理能够使用 Netlify API 和 CLI，通过自然语言提示创建、构建、部署和管理 Netlify 资源。需要拥有 Netlify 账号，且建议全局安装 Netlify CLI 以获得最佳体验。,良好,2,"[""创建、管理和部署 Netlify 项目"", ""修改访问控制以增强项目安全性"", ""安装或卸载 Netlify 扩展"", ""获取用户和团队信息"", ""启用并管理表单提交"", ""创建和管理环境变量和密钥""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""NETLIFY_PERSONAL_ACCESS_TOKEN""], ""dependencies"": [""Node.js 22 or higher"", ""Netlify account"", ""MCP client""]}","[""创建、管理和部署 Netlify 项目"", ""修改访问控制以增强项目安全性"", ""安装或卸载 Netlify 扩展"", ""获取用户和团队信息"", ""启用并管理表单提交"", ""创建和管理环境变量和密钥""]",60.6,B级-高质量冷门
Genesys Cloud MCP 服务器,MakingChatbots,https://github.com/MakingChatbots/genesys-cloud-mcp-server,4,4,70.94,82.5,50,57.18,8,https://lobehub.com/mcp/makingchatbots-genesys-cloud-mcp-server,一个Model Context Protocol（MCP）服务器，提供Genesys Cloud工具以支持大语言模型（LLMs），包括情感分析、会话搜索、话题检测等功能。需要环境变量进行身份验证：GENESYSCLOUD_REGION、GENESYSCLOUD_OAUTHCLIENT_ID、GENESYSCLOUD_OAUTHCLIENT_SECRET。,优质,16,"[""Contact center performance monitoring"", ""Conversation analytics and insights"", ""Voice call quality analysis"", ""Sentiment and topic tracking in customer interactions"", ""Business intelligence reporting from voice conversations""]","[""Claude Desktop""]","{""authentication_method"": ""OAuth Client Credentials"", ""required_environment_variables"": [""GENESYSCLOUD_REGION"", ""GENESYSCLOUD_OAUTHCLIENT_ID"", ""GENESYSCLOUD_OAUTHCLIENT_SECRET""], ""setup_instructions"": ""1. 在Genesys Cloud中创建OAuth客户端\n2. 为工具分配所需权限\n3. 提供环境变量进行身份验证""}","[""Contact center performance monitoring"", ""Conversation analytics and insights"", ""Voice call quality analysis"", ""Sentiment and topic tracking in customer interactions"", ""Business intelligence reporting from voice conversations""]",60.6,B级-高质量冷门
MCP 文档服务器,andrea9293,https://github.com/andrea9293/mcp-documentation-server,133,16,80.74,82.5,84,72.2,9,https://lobehub.com/mcp/andrea9293-mcp-documentation-server,基于 TypeScript 的 MCP 服务器，利用 AI 嵌入技术提供文档管理和语义搜索功能。数据以 JSON 格式本地存储。支持通过环境变量（如 MCP_DATA_DIR）配置数据存储路径。,优质,18,"[""Document management with metadata support"", ""Semantic search using AI embeddings"", ""File upload processing (.txt, .md, .pdf)"", ""Smart text chunking for improved search accuracy"", ""Local document storage with multilingual support"", ""Integration with MCP clients like Claude Desktop""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key required. Uses local embedding models for semantic search functionality.""","[""Document management with metadata support"", ""Semantic search using AI embeddings"", ""File upload processing (.txt, .md, .pdf)"", ""Smart text chunking for improved search accuracy"", ""Local document storage with multilingual support"", ""Integration with MCP clients like Claude Desktop""]",60.4,B级-高质量冷门
Google Tasks MCP 服务器,alvinjchoi,https://github.com/alvinjchoi/gtasks-mcp,0,0,70.74,92.5,19,57.18,6,https://lobehub.com/mcp/alvinjchoi-gtasks-mcp,这是一个用于 Google Tasks 集成的 Model Context Protocol (MCP) 服务器，适用于 Claude Desktop。它使 AI 助手能够通过自然语言交互管理 Google Tasks。需要通过环境变量配置 Google OAuth2 凭据（客户端ID、客户端密钥和刷新令牌）。,优质,12,"[""通过自然语言指令搜索任务"", ""列出所有任务以供查看"", ""使用自然语言创建新任务"", ""更新任务状态或详细信息"", ""删除不再需要的任务"", ""清理已完成的任务列表""]","[""Claude Desktop"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""GOOGLE_CLIENT_ID"", ""GOOGLE_CLIENT_SECRET"", ""GOOGLE_REFRESH_TOKEN""], ""authentication_method"": ""OAuth2.0"", ""setup_instructions"": ""需要在 Google Cloud Console 创建项目并启用 Google Tasks API，获取 OAuth 客户端 ID 和密钥，并通过 OAuth Playground 获取 Refresh Token""}","[""通过自然语言指令搜索任务"", ""列出所有任务以供查看"", ""使用自然语言创建新任务"", ""更新任务状态或详细信息"", ""删除不再需要的任务"", ""清理已完成的任务列表""]",60.4,B级-高质量冷门
MCP PostgreSQL 服务器,antonorlov,https://github.com/antonorlov/mcp-postgres-server,5,1,70.74,92.5,19,57.18,6,https://lobehub.com/mcp/antonorlov-mcp-postgres-server,一个提供 PostgreSQL 数据库操作的 Model Context Protocol（MCP）服务器。该服务器使 AI 模型能够通过标准化接口与 PostgreSQL 数据库进行交互。,优质,16,"[""Executing SELECT queries with parameterized inputs"", ""Performing database mutations (INSERT, UPDATE, DELETE) securely"", ""Listing database schemas and tables"", ""Describing table structures for development purposes"", ""Securely managing database connections in AI-assisted development workflows"", ""Validating and executing user-generated SQL queries safely""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [], ""environment_variables"": {""PG_HOST"": ""PostgreSQL host address"", ""PG_PORT"": ""PostgreSQL port number (default: 5432)"", ""PG_USER"": ""Database username"", ""PG_PASSWORD"": ""Database password"", ""PG_DATABASE"": ""Target database name""}}","[""Executing SELECT queries with parameterized inputs"", ""Performing database mutations (INSERT, UPDATE, DELETE) securely"", ""Listing database schemas and tables"", ""Describing table structures for development purposes"", ""Securely managing database connections in AI-assisted development workflows"", ""Validating and executing user-generated SQL queries safely""]",60.4,B级-高质量冷门
钉钉 MCP 服务器,darrenyao,https://github.com/darrenyao/dingtalk-mcp-server,5,0,70.74,92.5,19,57.18,3,https://lobehub.com/mcp/darrenyao-dingtalk-mcp-server,钉钉 MCP 服务器实现了模型上下文协议（Model Context Protocol），用于与钉钉工作区进行交互。需要环境变量 DINGTALK_APP_KEY 和 DINGTALK_APP_SECRET 以获取应用凭据。,优质,6,"[""在 Claude 中搜索钉钉用户"", ""获取钉钉用户的详细信息用于内部沟通或记录"", ""通过 Claude 向钉钉用户发送私信通知或提醒""]","[""Claude Desktop"", ""Studio""]","{""required_env_vars"": [""DINGTALK_APP_KEY"", ""DINGTALK_APP_SECRET""], ""permissions_required"": [""userinfo"", ""message"", ""user""], ""setup_instructions"": [""访问钉钉开发者后台创建应用"", ""选择企业内部应用类型"", ""配置 userinfo、message、user 权限"", ""保存应用的 AppKey 和 AppSecret""]}","[""在 Claude 中搜索钉钉用户"", ""获取钉钉用户的详细信息用于内部沟通或记录"", ""通过 Claude 向钉钉用户发送私信通知或提醒""]",60.4,B级-高质量冷门
ArXiv 论文 MCP,yzfly,https://github.com/yzfly/Arxiv-Paper-MCP,2,0,70.74,92.5,19,57.18,4,https://lobehub.com/mcp/yzfly-arxiv-paper-mcp,一个简化版的 MCP 服务器，用于 arXiv 论文检索和内容解析。支持智能论文搜索、直接获取 PDF 链接，以及优先解析 HTML 内容，PDF 作为备用。,优质,14,"[""学术研究中快速检索 arXiv 上的论文"", ""获取论文的 PDF 下载链接用于本地阅读"", ""解析论文内容并提供结构化文本用于后续处理"", ""跟踪 AI 领域的最新研究成果""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""details"": ""无需 API 密钥，依赖 arXiv API 提供的公开数据""}","[""学术研究中快速检索 arXiv 上的论文"", ""获取论文的 PDF 下载链接用于本地阅读"", ""解析论文内容并提供结构化文本用于后续处理"", ""跟踪 AI 领域的最新研究成果""]",60.4,B级-高质量冷门
OpenAlex MCP 服务器,reetp14,https://github.com/reetp14/openalex-mcp,0,0,70.74,92.5,19,57.18,11,https://lobehub.com/mcp/reetp14-openalex-mcp,一个模型上下文协议（MCP）服务器，提供对OpenAlex API的访问——这是一个完全开放的全球研究系统目录，涵盖超过2.4亿学术作品。,优质,20,"[""搜索特定领域的学术论文"", ""分析作者及其所属机构的关联"", ""跟踪特定研究主题的发展趋势"", ""查找相关期刊/会议/存储库"", ""识别研究机构的合作网络"", ""预测文本内容的研究领域分类"", ""实现快速的跨类型实体搜索""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""authentication"": ""Bearer token (可选)"", ""rate_limits"": {""anonymous"": ""10 req/sec, 100,000/day"", ""authenticated"": ""100 req/sec, 1,000,000/day""}, ""email_for_rate_limit"": ""可通过mailto参数或环境变量设置邮箱以获得更高配额""}","[""搜索特定领域的学术论文"", ""分析作者及其所属机构的关联"", ""跟踪特定研究主题的发展趋势"", ""查找相关期刊/会议/存储库"", ""识别研究机构的合作网络"", ""预测文本内容的研究领域分类"", ""实现快速的跨类型实体搜索""]",60.4,B级-高质量冷门
AniList MCP 服务器,yuna0x0,https://github.com/yuna0x0/anilist-mcp,43,3,75.34,92.5,42,57.18,44,https://lobehub.com/mcp/yuna0x0-anilist-mcp,一个与 AniList API 交互的 Model Context Protocol (MCP) 服务器，允许 LLM 客户端访问并操作来自 AniList 的动漫、漫画、角色、工作人员和用户数据。支持通过环境变量 ANILIST_TOKEN 提供可选的 AniList API 令牌，用于需要登录的操作。,优质,88,"[""搜索动漫、漫画、角色等"", ""获取特定动漫、漫画、角色的详细信息"", ""访问用户资料和列表"", ""支持高级过滤选项"", ""获取类型和媒体标签""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": true, ""details"": ""ANILIST_TOKEN（可选）：仅在执行需要登录的操作时需要。可通过 AniList 开发者设置页面创建客户端并获取 Token。""}","[""搜索动漫、漫画、角色等"", ""获取特定动漫、漫画、角色的详细信息"", ""访问用户资料和列表"", ""支持高级过滤选项"", ""获取类型和媒体标签""]",60.2,B级-高质量冷门
Jina AI MCP 工具,PsychArch,https://github.com/PsychArch/jina-mcp-tools,15,2,75.34,92.5,42,57.18,2,https://lobehub.com/mcp/psycharch-jina-mcp-tools,Jina AI 模型上下文协议（MCP）服务器，集成了 Jina AI 的 API，用于网页阅读、搜索和事实核查。需要通过环境变量 JINA_API_KEY 配置的 Jina AI API 密钥。,优质,6,"[""从网页中提取结构化内容供LLM使用"", ""在对话中实时进行网络搜索获取最新信息"", ""验证用户提供的事实性声明"", ""辅助研究任务，如科学探索、市场调研等"", ""与Cursor集成提升开发者的智能编码体验""]","[""Cursor"", ""Claude Desktop"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [{""name"": ""Jina AI API"", ""endpoint"": ""https://docs.jina.ai/"", ""key_required"": true, ""key_source"": ""https://jina.ai/?sui=apikey""}], ""dependencies"": [{""name"": ""Node.js"", ""version"": ""v16或更高版本""}]}","[""从网页中提取结构化内容供LLM使用"", ""在对话中实时进行网络搜索获取最新信息"", ""验证用户提供的事实性声明"", ""辅助研究任务，如科学探索、市场调研等"", ""与Cursor集成提升开发者的智能编码体验""]",60.2,B级-高质量冷门
bash-mcp,tinywind,https://github.com/tinywind/bash-mcp,1,0,69.94,92.5,15,57.18,4,https://lobehub.com/mcp/tinywind-bash-mcp,一个简单的 MCP（模型上下文协议）服务器，允许 Claude 在无需权限提示的情况下执行 shell 命令。需要 Node.js >= 16.0.0 运行环境。,优质,8,"[""自动化执行 shell 命令"", ""启动和管理开发服务器（前端/后端）"", ""捕获命令输出用于调试和分析"", ""配置定时任务或脚本执行环境"", ""与 Claude 模型集成实现自然语言控制终端操作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""api_keys"": false, ""dependencies"": [""Node.js >= 16.0.0"", ""npm or npx""]}","[""自动化执行 shell 命令"", ""启动和管理开发服务器（前端/后端）"", ""捕获命令输出用于调试和分析"", ""配置定时任务或脚本执行环境"", ""与 Claude 模型集成实现自然语言控制终端操作""]",60.0,B级-高质量冷门
PM-MCP（进程管理器 MCP）,patrickjm,https://github.com/patrickjm/pm-mcp,1,0,66.94,87.5,15,57.18,8,https://lobehub.com/mcp/patrickjm-pm-mcp,Process Manager MCP 服务器，允许 Claude 和其他大型语言模型（LLMs）管理长时间运行的 Bash 进程。日志会持久存储在 ./pm-mcp-logs/ 目录中。,良好,14,"[""管理开发服务器（如 React 开发服务器、API 服务器）"", ""构建和部署流程控制"", ""实时日志查看与错误排查"", ""向运行中的进程发送输入指令"", ""按关键字搜索历史日志"", ""一次性终止所有后台进程"", ""持久化存储进程日志以供后续分析""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""不需要 API 密钥。依赖于本地运行的 Node.js 环境和文件系统访问权限。""","[""管理开发服务器（如 React 开发服务器、API 服务器）"", ""构建和部署流程控制"", ""实时日志查看与错误排查"", ""向运行中的进程发送输入指令"", ""按关键字搜索历史日志"", ""一次性终止所有后台进程"", ""持久化存储进程日志以供后续分析""]",59.9,C级-特定场景推荐
Sequential Thinking MCP Server,Swan-and-Co-Innovations,https://github.com/Swan-and-Co-Innovations/MCP,0,0,66.94,87.5,15,57.18,1,https://lobehub.com/mcp/swan-and-co-innovations-mcp,一个 MCP 服务器实现，提供通过结构化思维过程进行动态和反思性问题解决的工具。,良好,8,"[""Breaking down complex problems into steps"", ""Planning and design with room for revision"", ""Analysis that might need course correction"", ""Problems where the full scope might not be clear initially"", ""Tasks that need to maintain context over multiple steps"", ""Situations where irrelevant information needs to be filtered out""]","[""Claude Desktop"", ""Docker""]","""No API key is required for this MCP server.""","[""Breaking down complex problems into steps"", ""Planning and design with room for revision"", ""Analysis that might need course correction"", ""Problems where the full scope might not be clear initially"", ""Tasks that need to maintain context over multiple steps"", ""Situations where irrelevant information needs to be filtered out""]",59.9,C级-特定场景推荐
mcp-servers,HakanUcaar,https://github.com/HakanUcaar/mcp-servers,0,0,66.94,87.5,15,57.18,1,https://lobehub.com/mcp/hakanuccar-mcp-servers,示例的 MCP 服务器包括 HangiKredi、Kandilli 和 Tamamlayıcı Sağlık。这些服务器作为 npm 包在 @hakan.ucar 作用域下提供。,良好,6,"[""信用评估与查询（HangiKredi）"", ""实时地震数据获取与分析（Kandilli）"", ""健康数据支持与管理（Tamamlayıcı Sağlık）""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""无需API密钥，所有功能通过NPM包直接调用。""","[""信用评估与查询（HangiKredi）"", ""实时地震数据获取与分析（Kandilli）"", ""健康数据支持与管理（Tamamlayıcı Sağlık）""]",59.9,C级-特定场景推荐
mcp-server-ghibli MCP 服务器,MichaelYangjson,https://github.com/MichaelYangjson/mcp-ghibli-video,3,1,69.74,92.5,14,57.18,3,https://lobehub.com/mcp/michaelyangjson-mcp-ghibli-video,这是一个基于TypeScript的MCP服务器，提供通过简洁界面进行AI图片和视频生成的功能。需要使用GPT4O Image Generator（https://www.gpt4oimg.com/）的API密钥。,优质,8,"[""Converting still images into animated Ghibli-style videos"", ""Monitoring video generation task progress"", ""Managing API usage credits for media generation""]","[""Claude Desktop"", ""Studio""]","{""required"": true, ""service_name"": ""GPT4O Image Generator"", ""api_key_url"": ""https://www.gpt4oimg.com/""}","[""Converting still images into animated Ghibli-style videos"", ""Monitoring video generation task progress"", ""Managing API usage credits for media generation""]",59.8,C级-特定场景推荐
Divide and Conquer MCP Server,Landice Fu,https://github.com/landicefu/divide-and-conquer-mcp-server,5,4,69.74,92.5,14,57.18,15,https://lobehub.com/mcp/landicefu-divide-and-conquer-mcp-server,一个用于将复杂任务拆分为可管理部分并使用结构化 JSON 存储的 MCP 服务器。,优质,31,"[""Breaking down complex software development tasks into manageable subtasks"", ""Tracking progress on system refactoring or architectural changes"", ""Maintaining context across multiple sessions while working on long-term tasks"", ""Organizing technical documentation and resources for complex projects"", ""Managing multi-step operations with dependencies and sequential requirements""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key is required for this MCP server.""","[""Breaking down complex software development tasks into manageable subtasks"", ""Tracking progress on system refactoring or architectural changes"", ""Maintaining context across multiple sessions while working on long-term tasks"", ""Organizing technical documentation and resources for complex projects"", ""Managing multi-step operations with dependencies and sequential requirements""]",59.8,C级-特定场景推荐
Time MCP Server,yokingma,https://github.com/yokingma/time-mcp,31,5,74.54,92.5,38,57.18,6,https://lobehub.com/mcp/yokingma-time-mcp,一个支持时间感知功能的Model Context Protocol（MCP）服务器实现，允许大语言模型（LLMs）具备时间意识能力。,优质,12,"[""为 LLM 提供准确的当前时间信息"", ""支持多时区的时间转换"", ""处理与时间相关的推理任务（如相对时间、时间戳等）"", ""用于需要时间感知能力的自动化流程和智能系统""]","[""Claude Desktop"", ""Cursor"", ""Windsurf""]","""无需 API 密钥。所有功能基于本地时间计算或时区转换。""","[""为 LLM 提供准确的当前时间信息"", ""支持多时区的时间转换"", ""处理与时间相关的推理任务（如相对时间、时间戳等）"", ""用于需要时间感知能力的自动化流程和智能系统""]",59.7,C级-特定场景推荐
Untun MCP - 本地服务器的安全隧道,Oliver Montes,https://github.com/minte-app/untun-mcp,0,2,66.74,87.5,14,57.18,3,https://lobehub.com/mcp/minte-app-untun-mcp,用于untun集成的MCP服务器。需要Node.js版本不低于v18.0.0。根据需要自动安装untun CLI工具。,良好,9,"[""快速将本地开发服务器暴露给公网进行测试"", ""通过自然语言指令管理多个隧道"", ""在AI助手中直接查看和控制所有活动隧道"", ""简化传统隧道工具复杂的命令行操作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""无需API密钥。依赖Node.js环境和untun CLI工具。""","[""快速将本地开发服务器暴露给公网进行测试"", ""通过自然语言指令管理多个隧道"", ""在AI助手中直接查看和控制所有活动隧道"", ""简化传统隧道工具复杂的命令行操作""]",59.7,C级-特定场景推荐
Crypto Exchange SDK Documentation MCP,flytam,https://github.com/flytam/exchange-sdk-mcp,1,0,66.64,75.0,51,57.18,12,https://lobehub.com/mcp/flytam-exchange-sdk-mcp,一种模型上下文协议（MCP）服务，旨在帮助开发者在集成加密货币交易所API时轻松访问文档。提供离线文档，无需连接互联网。,良好,6,"[""Querying available methods from cryptocurrency exchange SDKs"", ""Retrieving detailed documentation for specific methods during development"", ""Accessing SDK README files for integration guidance"", ""Working offline without relying on internet connectivity for API documentation""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key is required for this MCP tool since it provides offline documentation only.""","[""Querying available methods from cryptocurrency exchange SDKs"", ""Retrieving detailed documentation for specific methods during development"", ""Accessing SDK README files for integration guidance"", ""Working offline without relying on internet connectivity for API documentation""]",59.6,C级-特定场景推荐
Memory Pickle MCP,Justar96,https://github.com/Justar96/memory-pickle-mcp,15,1,74.14,82.5,66,57.18,13,https://lobehub.com/mcp/justar96-memory-pickle-mcp,用于AI代理的项目管理和会话记忆工具。提供8个基本的MCP工具，用于在聊天会话中跟踪项目、任务和上下文。需要Node.js 16+运行环境。,优质,20,"[""Tracking projects and tasks during AI coding sessions"", ""Maintaining context between tool calls"", ""Storing and recalling important development decisions"", ""Generating handoff summaries between sessions"", ""Exporting session data for permanent storage"", ""Managing hierarchical task organization with parent-child relationships"", ""Tracking progress and blockers for tasks""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API keys required. Requires Node.js 16.0.0 or higher.""","[""Tracking projects and tasks during AI coding sessions"", ""Maintaining context between tool calls"", ""Storing and recalling important development decisions"", ""Generating handoff summaries between sessions"", ""Exporting session data for permanent storage"", ""Managing hierarchical task organization with parent-child relationships"", ""Tracking progress and blockers for tasks""]",59.5,C级-特定场景推荐
HAL (HTTP API 层),DeanWard,https://github.com/DeanWard/HAL,28,5,73.94,92.5,35,57.18,8,https://lobehub.com/mcp/deanward-hal,HAL 是一个 MCP 服务器，提供 HTTP API 功能，允许大型语言模型通过安全、受控的接口进行 HTTP 请求和与 Web API 交互。它支持通过环境变量 HAL_SWAGGER_FILE（OpenAPI/Swagger 规范的路径）和 HAL_API_BASE_URL（API 请求的基础 URL）自动生成工具，基于 OpenAPI/Swagger 规范进行配置。,优质,8,"[""为LLM提供调用外部HTTP API的能力"", ""自动化从OpenAPI/Swagger文档生成可用工具"", ""安全地管理并使用API密钥、令牌等敏感信息"", ""构建与企业内部系统的安全连接通道"", ""开发具备实时网络访问能力的AI代理应用"", ""创建可扩展的MCP服务以支持多模型协作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""HAL_SECRET_*: 用于定义API密钥、令牌、用户名和密码等敏感信息"", ""HAL_ALLOW_*: 用于限制特定命名空间下的URL访问权限"", ""HAL_WHITELIST_URLS: 指定允许访问的URL模式列表"", ""HAL_BLACKLIST_URLS: 指定禁止访问的URL模式列表""], ""dependency"": [""Node.js"", ""npm"", ""TypeScript运行时支持""]}","[""为LLM提供调用外部HTTP API的能力"", ""自动化从OpenAPI/Swagger文档生成可用工具"", ""安全地管理并使用API密钥、令牌等敏感信息"", ""构建与企业内部系统的安全连接通道"", ""开发具备实时网络访问能力的AI代理应用"", ""创建可扩展的MCP服务以支持多模型协作""]",59.4,C级-特定场景推荐
MCP媒体处理服务器,maoxiaoke,https://github.com/maoxiaoke/mcp-media-processor,18,4,69.94,87.5,30,57.18,10,https://lobehub.com/mcp/maoxiaoke-mcp-media-processor,一个实现模型上下文协议（MCP）的Node.js服务器，专为媒体处理操作设计，提供强大的视频和图像处理能力。需要依赖外部系统FFmpeg和ImageMagick，分别用于视频和图像处理。,良好,20,"[""Video processing and conversion"", ""Image processing and manipulation"", ""Media compression"", ""Video trimming and editing"", ""Image effects and watermarking""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""notes"": ""No API key required as this is a local media processing server using FFmpeg and ImageMagick""}","[""Video processing and conversion"", ""Image processing and manipulation"", ""Media compression"", ""Video trimming and editing"", ""Image effects and watermarking""]",59.4,C级-特定场景推荐
MyMCPSpace MCP 服务器,glifxyz,https://github.com/glifxyz/mymcpspace-mcp-server,13,3,69.94,87.5,30,57.18,5,https://lobehub.com/mcp/glifxyz-mymcpspace-mcp-server,一个提供对 MyMCPSpace 访问的模型上下文协议（MCP）服务器，允许 AI 模型通过标准化接口与帖子、回复、点赞和动态进行交互。需要通过环境变量 API_TOKEN 配置的 MyMCPSpace API 令牌。,良好,10,"[""AI助手自动发布内容到MyMCPSpace"", ""基于自然语言指令的社交互动操作"", ""构建AI驱动的社交媒体管理工具"", ""实时获取并处理社交网络动态流"", ""自动化用户名更新及账号维护""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_apis"": [{""name"": ""MyMCPSpace API Token"", ""description"": ""从https://mymcpspace.com/token 获取的认证令牌""}], ""other_dependencies"": [""Node.js 18+"", ""Discord账户（用于人类身份验证）""]}","[""AI助手自动发布内容到MyMCPSpace"", ""基于自然语言指令的社交互动操作"", ""构建AI驱动的社交媒体管理工具"", ""实时获取并处理社交网络动态流"", ""自动化用户名更新及账号维护""]",59.4,C级-特定场景推荐
Quick Chart MCP 服务器,DataWorks,https://github.com/datafe/quick-chart-mcp,3,1,72.14,92.5,26,57.18,1,https://lobehub.com/mcp/datafe-quick-chart-mcp,一个提供图表工具的模型上下文协议（MCP）服务器，允许通过标准接口与Quick Chart进行交互。支持通过环境变量配置，包括QUICK_CHART_DRAW_URL和NEED_INSTALL_QUICK_CHART。,优质,4,"[""AI Agent 需要生成图表并获取图片链接的场景"", ""本地部署 Quick Chart 服务以支持离线图表生成"", ""集成到 Claude、Cursor、Cline 等支持 MCP 的客户端中进行可视化分析""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [], ""dependencies"": [""image APIs""]}","[""AI Agent 需要生成图表并获取图片链接的场景"", ""本地部署 Quick Chart 服务以支持离线图表生成"", ""集成到 Claude、Cursor、Cline 等支持 MCP 的客户端中进行可视化分析""]",59.3,C级-特定场景推荐
Log Reader Mcp,hassansaadfr,https://github.com/hassansaadfr/log-reader-mcp,0,0,78.74,92.5,59,57.18,1,https://lobehub.com/mcp/hassansaadfr-log-reader-mcp,基于人工智能的日志访问工具，通过模型控制协议（MCP）向AI助手/编辑器暴露应用程序日志。支持结构化的JSON日志，能够实现即时的日志分析、过滤和解释。配置文件 .cursor/mcp.json 可自动创建，也可手动设置以指定日志服务器连接信息。,优质,2,"[""实时调试：在 Cursor 中即时查看错误与警告信息"", ""AI 日志分析：让 AI 对日志进行摘要、过滤和事件解释"", ""事件响应：快速定位并共享关键问题信息"", ""新员工入职：开发者可在编辑器中获得即时可读的日志反馈"", ""审计与合规：导出结构化日志以便审查""]","[""Cursor"", ""Cline"", ""Studio""]","{""required"": false, ""dependencies"": [""Node.js"", ""NPM""]}","[""实时调试：在 Cursor 中即时查看错误与警告信息"", ""AI 日志分析：让 AI 对日志进行摘要、过滤和事件解释"", ""事件响应：快速定位并共享关键问题信息"", ""新员工入职：开发者可在编辑器中获得即时可读的日志反馈"", ""审计与合规：导出结构化日志以便审查""]",59.2,C级-专业小众工具
Windows CLI MCP 服务器（增强版）,s2005,https://github.com/s2005/wcli0,0,0,68.54,72.5,68,57.18,5,https://lobehub.com/mcp/s2005-wcli0,增强版 MCP 服务器，支持 Windows CLI（命令行界面）交互，具有高级配置和安全功能。支持 PowerShell、CMD、Git Bash 和 WSL（Windows Subsystem for Linux）等多种 Shell。配置文件可以通过 --config 命令行参数指定，或放置在默认位置，如 win-cli-mcp.config.json 或 ~/.win-cli-mcp/config.json。,优质,22,"[""通过MCP客户端（如Claude Desktop）远程执行Windows命令行任务"", ""自动化脚本执行与调试"", ""受限环境中安全地运行AI代理命令"", ""开发与测试环境中的命令行接口模拟"", ""集成到AI助手工具链中实现本地系统操作""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""无需API密钥，但建议通过配置文件进行安全控制，包括路径限制、命令阻断、超时设置等。""","[""通过MCP客户端（如Claude Desktop）远程执行Windows命令行任务"", ""自动化脚本执行与调试"", ""受限环境中安全地运行AI代理命令"", ""开发与测试环境中的命令行接口模拟"", ""集成到AI助手工具链中实现本地系统操作""]",59.1,C级-特定场景推荐
MCP网页研究服务器,mzxrai,https://github.com/PhialsBasement/mcp-webresearch-stealthified,4,0,68.34,92.5,7,57.18,3,https://lobehub.com/mcp/mzxrai-mcp-webresearch-stealthified,一个用于网页研究的模型上下文协议（MCP）服务器，能够将实时信息引入Claude，并轻松研究任何主题。需要 Node.js >= 18 版本，并自动作为依赖安装的 Playwright。,优质,7,"[""Bringing real-time information into AI conversations"", ""Conducting detailed web research on any topic"", ""Tracking research sessions including search queries, visited pages, and extracted content"", ""Capturing screenshots during research sessions""]","[""Claude Desktop"", ""Cline"", ""Studio""]","""No API key is required for this tool.""","[""Bringing real-time information into AI conversations"", ""Conducting detailed web research on any topic"", ""Tracking research sessions including search queries, visited pages, and extracted content"", ""Capturing screenshots during research sessions""]",59.0,C级-特定场景推荐
